path_id	symbol
hsa00010	LDHAL6B
hsa00010	ADH1B
hsa00010	FBP2
hsa00010	ALDH1B1
hsa00010	ALDOA
hsa00010	DLD
hsa00010	GPI
hsa00010	ALDH9A1
hsa00010	DLAT
hsa00010	PCK1
hsa00010	ACSS1
hsa00010	GAPDHS
hsa00010	HK2
hsa00010	PGAM4
hsa00010	ALDOB
hsa00010	GCK
hsa00010	LDHB
hsa00010	PDHA1
hsa00010	PFKM
hsa00010	PGM1
hsa00010	HK3
hsa00010	ALDH7A1
hsa00010	PCK2
hsa00010	PKLR
hsa00010	PGK1
hsa00010	FBP1
hsa00010	PFKL
hsa00010	ADH1C
hsa00010	ADH7
hsa00010	LDHC
hsa00010	ALDH2
hsa00010	ALDH3A2
hsa00010	ENO3
hsa00010	LDHA
hsa00010	ALDH3A1
hsa00010	PGM2
hsa00010	GAPDH
hsa00010	ACSS2
hsa00010	HK1
hsa00010	ALDH3B1
hsa00010	ALDOC
hsa00010	PGK2
hsa00010	PDHB
hsa00010	ADH5
hsa00010	ALDH3B2
hsa00010	PGAM1
hsa00010	G6PC
hsa00010	ADH4
hsa00010	TPI1
hsa00010	GALM
hsa00010	ALDH1A3
hsa00010	PDHA2
hsa00010	ENO2
hsa00010	HKDC1
hsa00010	PFKP
hsa00010	ENO1
hsa00010	LDHAL6A
hsa00010	G6PC2
hsa00010	PKM2
hsa00010	PGAM2
hsa00010	BPGM
hsa00010	ADH6
hsa00010	ADPGK
hsa00010	AKR1A1
hsa00010	ADH1A
hsa00020	IDH2
hsa00020	OGDHL
hsa00020	PDHB
hsa00020	PDHA1
hsa00020	MDH2
hsa00020	SDHA
hsa00020	IDH3B
hsa00020	DLST
hsa00020	SUCLG2
hsa00020	PC
hsa00020	OGDH
hsa00020	DLD
hsa00020	ACO2
hsa00020	PCK2
hsa00020	IDH3G
hsa00020	PCK1
hsa00020	SUCLG1
hsa00020	ACO1
hsa00020	ACLY
hsa00020	PDHA2
hsa00020	IDH3A
hsa00020	FH
hsa00020	DLAT
hsa00020	MDH1
hsa00020	IDH1
hsa00020	SDHB
hsa00020	SDHD
hsa00020	SUCLA2
hsa00020	CS
hsa00020	SDHC
hsa00030	LOC729020
hsa00030	PFKP
hsa00030	PGD
hsa00030	PGLS
hsa00030	DERA
hsa00030	PGM1
hsa00030	G6PD
hsa00030	FBP2
hsa00030	ALDOB
hsa00030	GPI
hsa00030	PRPS1
hsa00030	PFKM
hsa00030	TKTL2
hsa00030	RPE
hsa00030	ALDOC
hsa00030	PRPS1L1
hsa00030	RBKS
hsa00030	PRPS2
hsa00030	FBP1
hsa00030	TKT
hsa00030	TKTL1
hsa00030	TALDO1
hsa00030	PGM2
hsa00030	PFKL
hsa00030	RPIA
hsa00030	ALDOA
hsa00030	H6PD
hsa00040	ALDH3A2
hsa00040	UGT2B7
hsa00040	UGT1A8
hsa00040	CRYL1
hsa00040	UGT1A9
hsa00040	UGT2B28
hsa00040	UGT2A2
hsa00040	UGDH
hsa00040	AKR1B1
hsa00040	XYLB
hsa00040	UGT1A1
hsa00040	GUSB
hsa00040	UGT2B4
hsa00040	UGT2A3
hsa00040	ALDH2
hsa00040	RPE
hsa00040	UGT1A5
hsa00040	LOC729020
hsa00040	UGT1A4
hsa00040	UGT1A6
hsa00040	UGT2B17
hsa00040	UGT2B11
hsa00040	UGT2B10
hsa00040	ALDH1B1
hsa00040	UGT1A7
hsa00040	UGP2
hsa00040	UGT2A1
hsa00040	UGT1A10
hsa00040	UGT1A3
hsa00040	DHDH
hsa00040	DCXR
hsa00040	UGT2B15
hsa00051	PFKFB2
hsa00051	PFKFB3
hsa00051	MTMR6
hsa00051	C12orf5
hsa00051	MTMR2
hsa00051	MTMR7
hsa00051	PFKFB1
hsa00051	FBP1
hsa00051	PFKM
hsa00051	PHPT1
hsa00051	FBP2
hsa00051	PFKP
hsa00051	FPGT
hsa00051	AKR1B10
hsa00051	ALDOB
hsa00051	GMPPB
hsa00051	KHK
hsa00051	SORD
hsa00051	GMPPA
hsa00051	PFKFB4
hsa00051	PMM2
hsa00051	TSTA3
hsa00051	AKR1B1
hsa00051	ALDOC
hsa00051	HK1
hsa00051	PFKL
hsa00051	MTMR1
hsa00051	FUK
hsa00051	HK3
hsa00051	ALDOA
hsa00051	MPI
hsa00051	HKDC1
hsa00051	PMM1
hsa00051	TPI1
hsa00051	GMDS
hsa00051	HK2
hsa00052	MGAM
hsa00052	PGM2
hsa00052	GCK
hsa00052	AKR1B1
hsa00052	GALK1
hsa00052	PFKP
hsa00052	G6PC2
hsa00052	LALBA
hsa00052	GAA
hsa00052	G6PC
hsa00052	PFKM
hsa00052	GALE
hsa00052	HKDC1
hsa00052	GLB1
hsa00052	B4GALT2
hsa00052	B4GALT1
hsa00052	HK1
hsa00052	LCT
hsa00052	HK2
hsa00052	HK3
hsa00052	GLA
hsa00052	GALT
hsa00052	GALK2
hsa00052	GANC
hsa00052	UGP2
hsa00052	PFKL
hsa00052	PGM1
hsa00053	UGT2A2
hsa00053	UGT1A10
hsa00053	ALDH7A1
hsa00053	ALDH3A2
hsa00053	UGT1A8
hsa00053	ALDH1B1
hsa00053	UGT1A7
hsa00053	ALDH2
hsa00053	UGT1A3
hsa00053	UGT1A6
hsa00053	UGT2B17
hsa00053	UGT2B7
hsa00053	UGT1A5
hsa00053	UGT2B4
hsa00053	MIOX
hsa00053	UGT1A4
hsa00053	UGT2B28
hsa00053	UGT2B15
hsa00053	UGT1A1
hsa00053	UGDH
hsa00053	UGT2A1
hsa00053	UGT1A9
hsa00053	UGT2A3
hsa00053	UGT2B10
hsa00053	ALDH9A1
hsa00053	UGT2B11
hsa00061	ACACA
hsa00061	OXSM
hsa00061	MCAT
hsa00061	FASN
hsa00061	OLAH
hsa00061	ACACB
hsa00062	HADH
hsa00062	PPT2
hsa00062	MECR
hsa00062	ECHS1
hsa00062	PPT1
hsa00062	ACAA2
hsa00062	HADHB
hsa00062	HADHA
hsa00071	ECI1
hsa00071	ALDH2
hsa00071	ADH4
hsa00071	ACADSB
hsa00071	ACOX1
hsa00071	ADH5
hsa00071	HADHA
hsa00071	EHHADH
hsa00071	ACSL4
hsa00071	CYP4A11
hsa00071	ACAT1
hsa00071	ACADM
hsa00071	ACOX3
hsa00071	HADHB
hsa00071	ADH6
hsa00071	CPT1A
hsa00071	CPT2
hsa00071	ACADS
hsa00071	ACSL1
hsa00071	ACAA1
hsa00071	ALDH9A1
hsa00071	CPT1B
hsa00071	ACSL5
hsa00071	ADH1A
hsa00071	ALDH7A1
hsa00071	ALDH1B1
hsa00071	ACAT2
hsa00071	ADH1B
hsa00071	HADH
hsa00071	ACSL3
hsa00071	ALDH3A2
hsa00071	ACAA2
hsa00071	ECI2
hsa00071	GCDH
hsa00071	ADH1C
hsa00071	ECHS1
hsa00071	ACSBG2
hsa00071	CYP4A22
hsa00071	ACSL6
hsa00071	ADH7
hsa00071	CPT1C
hsa00071	ACADL
hsa00071	ACADVL
hsa00072	ACAT1
hsa00072	HMGCS2
hsa00072	OXCT2
hsa00072	BDH2
hsa00072	HMGCL
hsa00072	OXCT1
hsa00072	ACAT2
hsa00072	BDH1
hsa00072	HMGCS1
hsa00100	CYP2R1
hsa00100	DHCR7
hsa00100	MSMO1
hsa00100	HSD17B7
hsa00100	SC5DL
hsa00100	SOAT1
hsa00100	DHCR24
hsa00100	CEL
hsa00100	TM7SF2
hsa00100	LSS
hsa00100	SOAT2
hsa00100	FDFT1
hsa00100	EBP
hsa00100	SQLE
hsa00100	LIPA
hsa00100	C5orf4
hsa00100	NSDHL
hsa00100	CYP27B1
hsa00100	CYP51A1
hsa00120	SCP2
hsa00120	HSD3B7
hsa00120	BAAT
hsa00120	CYP27A1
hsa00120	ACOX2
hsa00120	SLC27A5
hsa00120	HSD17B4
hsa00120	CYP8B1
hsa00120	AKR1C4
hsa00120	CYP7B1
hsa00120	CH25H
hsa00120	AMACR
hsa00120	CYP46A1
hsa00120	AKR1D1
hsa00120	CYP39A1
hsa00120	CYP7A1
hsa00130	COQ6
hsa00130	HPD
hsa00130	COQ5
hsa00130	COQ3
hsa00130	COQ7
hsa00130	TAT
hsa00130	COQ2
hsa00140	UGT2B7
hsa00140	AKR1C3
hsa00140	CYP3A43
hsa00140	HSD3B1
hsa00140	UGT2B28
hsa00140	AKR1C1
hsa00140	AKR1C2
hsa00140	SULT1E1
hsa00140	UGT2B11
hsa00140	HSD17B1
hsa00140	CYP7A1
hsa00140	CYP3A5
hsa00140	UGT2A3
hsa00140	SRD5A2
hsa00140	CYP3A7
hsa00140	HSD11B2
hsa00140	UGT1A9
hsa00140	UGT2B15
hsa00140	HSD17B3
hsa00140	HSD3B2
hsa00140	CYP7B1
hsa00140	AKR1C4
hsa00140	HSD17B7
hsa00140	SRD5A1
hsa00140	SRD5A3
hsa00140	CYP3A4
hsa00140	HSD17B6
hsa00140	SULT2B1
hsa00140	CYP17A1
hsa00140	COMT
hsa00140	CYP1A1
hsa00140	UGT2A2
hsa00140	UGT2B4
hsa00140	UGT1A6
hsa00140	CYP1B1
hsa00140	STS
hsa00140	UGT2B17
hsa00140	UGT1A10
hsa00140	UGT1A5
hsa00140	UGT2B10
hsa00140	HSD17B12
hsa00140	AKR1D1
hsa00140	CYP11B1
hsa00140	UGT1A4
hsa00140	UGT1A1
hsa00140	UGT1A3
hsa00140	HSD11B1
hsa00140	HSD17B8
hsa00140	CYP11A1
hsa00140	UGT1A8
hsa00140	CYP19A1
hsa00140	HSD17B2
hsa00140	UGT2A1
hsa00140	CYP21A2
hsa00140	UGT1A7
hsa00140	CYP11B2
hsa00190	NDUFS1
hsa00190	ATP6V0E1
hsa00190	NDUFA9
hsa00190	COX1
hsa00190	COX7C
hsa00190	COX7B2
hsa00190	NDUFA7
hsa00190	NDUFC2
hsa00190	ND3
hsa00190	ATP6V0E2
hsa00190	COX6B1
hsa00190	ATP6V1G2
hsa00190	ATP6V1E2
hsa00190	NDUFS6
hsa00190	ATP6V1F
hsa00190	SDHA
hsa00190	ATP6V1B2
hsa00190	SDHB
hsa00190	COX7B
hsa00190	ATP6V0B
hsa00190	NDUFC1
hsa00190	ATP6V0A2
hsa00190	COX6A2
hsa00190	NDUFA5
hsa00190	ATP6
hsa00190	ATP5E
hsa00190	NDUFA8
hsa00190	ATP6V1H
hsa00190	ATP6V0A1
hsa00190	NDUFB10
hsa00190	ATP6V1A
hsa00190	UQCRQ
hsa00190	NDUFV1
hsa00190	COX7A2
hsa00190	NDUFB5
hsa00190	NDUFA6
hsa00190	COX8A
hsa00190	ATP5I
hsa00190	NDUFS5
hsa00190	ATP8
hsa00190	UQCRH
hsa00190	NDUFS7
hsa00190	ATP5F1
hsa00190	COX6B2
hsa00190	ATP5G2
hsa00190	NDUFA10
hsa00190	NDUFB6
hsa00190	ATP6V1B1
hsa00190	NDUFS4
hsa00190	ATP5C1
hsa00190	ATP5A1
hsa00190	COX6A1
hsa00190	UQCRHL
hsa00190	COX4I2
hsa00190	SDHD
hsa00190	NDUFAB1
hsa00190	CYC1
hsa00190	COX8C
hsa00190	UQCRFS1
hsa00190	UQCRC2
hsa00190	SDHC
hsa00190	ATP6V0C
hsa00190	ND4
hsa00190	NDUFB9
hsa00190	ATP6V1G3
hsa00190	NDUFS8
hsa00190	ND4L
hsa00190	COX7A2L
hsa00190	ATP5H
hsa00190	COX5A
hsa00190	COX6C
hsa00190	COX10
hsa00190	ATP6V1C2
hsa00190	ATP6V1C1
hsa00190	UQCR10
hsa00190	NDUFB3
hsa00190	COX11
hsa00190	NDUFB2
hsa00190	ATP5B
hsa00190	NDUFA12
hsa00190	NDUFS3
hsa00190	NDUFV3
hsa00190	UQCRC1
hsa00190	NDUFA11
hsa00190	UQCR11
hsa00190	NDUFA1
hsa00190	NDUFV2
hsa00190	UQCRB
hsa00190	NDUFB7
hsa00190	ND1
hsa00190	ATP5O
hsa00190	ATP5D
hsa00190	NDUFB11
hsa00190	NDUFA4
hsa00190	ATP4B
hsa00190	CYTB
hsa00190	NDUFS2
hsa00190	ATP6V0A4
hsa00190	LHPP
hsa00190	ATP5J2
hsa00190	ATP6V1D
hsa00190	TCIRG1
hsa00190	NDUFB4
hsa00190	ND2
hsa00190	NDUFB1
hsa00190	ATP5G3
hsa00190	ATP6V0D2
hsa00190	NDUFA3
